Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,15917598.777863802,-40.0240580499728
150,5552620.839810707,-57.385167419117494
250,4347071.615152141,-69.41099419877442
350,3493630.129163608,-75.85097269062419
450,2862909.318303482,-81.89794912641972
550,2444390.5839884533,-86.35184250133801
650,2093796.6072885834,-91.43813669854065
750,1828065.3651318832,-95.2555786745975
850,1605237.813351786,-98.78953888653416
950,1473467.795882675,-101.93104598060054
1050,1324510.6012365245,-105.39458189746342
