Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12967458.011025911,-20.931076892461395
150,6942177.342201756,-63.425135250678125
250,4495747.757779949,-67.57822161304804
350,3397989.4418825135,-73.24224273050508
450,2722312.2490562005,-76.02262985640105
550,2289665.690868335,-78.81279103187832
650,1945972.736913903,-81.52761720302644
750,1711997.608445229,-83.63470039801803
850,1512795.7842901791,-85.98348553365254
950,1393567.3517638457,-87.45970264083174
1050,1270120.4350005435,-89.12051330865589
