Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,8273448.544868759,-1.069958187476235
150,6475803.198801599,-38.205943101715995
250,4917397.290792113,-48.9020317949821
350,3983859.712484364,-60.086582022208326
450,3293655.9315148494,-66.86855794076189
550,2816087.8443016554,-73.13037496532189
650,2410239.506974293,-78.3421774151881
750,2132467.548473153,-82.39511864803723
850,2077121.2923648106,-88.00606231936023
950,1913555.2369095252,-90.59361750126303
1050,1738953.782499686,-92.8575270542551
