Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,11703272.891070126,-53.656025257601435
150,4795686.442946056,-82.47169980334425
250,2932433.3840855896,-82.84782156773736
350,2136310.2607535706,-84.33167021915214
450,1689908.4098258927,-85.52761571555617
550,1405480.147757512,-86.77417036935404
650,1185100.592678773,-88.19205880565137
750,1035750.8662193617,-89.44538485356487
850,911191.1718977186,-90.80477981847194
950,836862.2799307065,-92.01663138365053
1050,759762.2118238024,-93.17682018722495
