Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,17392643.56298041,-24.38370003356543
150,9746502.33007399,-67.3626799265816
250,6244939.412596664,-73.63979243123194
350,5261112.776212536,-80.89756199419332
450,3987970.9700404233,-83.16040216854097
550,3329094.2576964437,-86.52956817678566
650,2824847.4822991844,-88.92942546163616
750,2474272.5700429454,-91.89576745396688
850,2178971.8330987166,-94.58444975535905
950,2006949.1176271788,-96.72642007147711
1050,1821843.4590560922,-98.22735978802494
