Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,38083030.39987992,-28.207713149092136
150,20227605.45739731,-72.6347137991019
250,12006393.979333986,-82.51671830473445
350,9116776.722957097,-91.11071642743187
450,6923016.44680574,-96.65124522695943
550,5672771.55088892,-101.61298930290933
650,4699551.527407137,-107.41173186368924
750,4050164.382770278,-111.25136067396689
850,3495258.706619844,-116.05116520008657
950,3178982.597546817,-118.77184825124262
1050,2817849.0199732287,-124.00907146721615
