Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,16588933.70821038,-33.67817753551563
150,6090649.265880595,-55.2213697676445
250,4374664.357725722,-69.81968284186676
350,3472162.5221701106,-75.8218209608271
450,2882161.6371714715,-82.08898067632327
550,2432439.650438284,-85.60622362949412
650,2098754.4262891924,-91.65429966186066
750,1822782.485146968,-95.30320955212736
850,1608555.981286959,-98.63185449286718
950,1469318.065618821,-101.57869178882753
1050,1331343.0785670378,-105.49251849236329
