Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,8000648.378071784,-1.1320811126045363
150,6569329.824794824,-38.85438991372493
250,4980449.795690597,-50.05531534066557
350,3989806.6488593277,-60.25060381988547
450,3294956.0197359617,-67.17687029309289
550,2817263.6688123033,-73.19703867601008
650,2406001.2120905453,-78.12205723730169
750,2126992.5537499744,-82.36618406746135
850,2075427.6594924736,-87.8019121072929
950,1920406.1818120638,-90.45911422157474
1050,1730271.0503236537,-92.72078144914441
