Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4716989.221199746,99.49427535889485
150,390494.35963565635,55.91843872322887
250,159262.4739009026,-10.224400009417167
350,193404.84405926685,-15.842086602843874
450,188573.94098583297,-19.35749398221892
550,184729.47742025784,-22.584113027944593
650,164872.46694213295,-24.43447991973115
750,142769.38242915194,-30.510172920156176
850,126968.45879095806,-36.38356934874079
950,112512.79973796096,-36.157641499833915
1050,102273.02004093856,-39.6632285246036
