Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,140778.72576257554,-158.31665482283913
150,2629.764763477433,-6.94257884139302
250,2575.5105728827402,-7.750240537258852
350,2590.535565064303,-11.247264628747095
450,2555.7438461120664,-10.603114937124468
550,2509.817457999519,-11.209954415597124
650,2515.9124235960526,-11.113589903028394
750,2454.9472923375583,-11.733288159445681
850,2453.4180360055275,-13.029303171926308
950,2444.716224435112,-13.442482829124652
1050,2436.6356596386854,-14.275364756925194
