Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10195540.316914206,-57.5161640617421
150,4110200.7467623344,-76.81610354344504
250,2589625.9115646877,-78.40815250187549
350,1930665.4041436804,-79.49456716316544
450,1550068.4075828216,-80.25510730837975
550,1305143.1358201925,-81.12618741372802
650,1116456.335868968,-82.31088584057925
750,988637.1817164057,-83.47906152018317
850,879646.2650262925,-84.69523818193944
950,815736.5787849214,-85.83417587970833
1050,748241.4753998244,-86.92439505663077
