Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5413337.60887637,1.9090341147907284
150,187133.07415319592,-1.1150741830997313
250,305388.1793081949,-23.164514432272036
350,332406.75954827823,-21.20878457983173
450,302626.71620100585,-26.82571861064612
550,220960.6905215773,-37.01609287236541
650,195312.49632129044,-42.36167271361866
750,212597.1924668354,-48.76848731935352
850,218248.98397510554,-58.15420241478757
950,225787.93725715004,-57.95934585157573
1050,207654.97418589843,-59.18009072973022
