Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13567998.612475753,-6.738970284357477
150,8708266.004323548,-52.63352519685837
250,5935871.2106046,-64.27237550912689
350,5208121.370508597,-71.76136557414053
450,4192395.1769041996,-77.30987677337976
550,3516558.125757552,-81.97890810815267
650,2996135.2088239235,-86.91661112006884
750,2653099.968544946,-90.63609690716044
850,2328571.9325656523,-94.54409338982828
950,2147975.3319033748,-97.45540389441877
1050,1949731.0744322063,-100.69454808533726
