Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13462488.326775663,-82.06353213488408
150,4585332.892254781,-81.71297519848383
250,2822373.567043493,-83.01767562661584
350,2043632.8940972872,-84.4679391602529
450,1614323.7380755309,-86.57628250597958
550,1340048.9353471536,-88.20252989716988
650,1128272.7369500266,-90.06628809394476
750,985351.6360471824,-91.5853253610345
850,864654.6136193679,-93.2525781881935
950,795614.9505206451,-94.62658390043877
1050,720115.1890075223,-96.04066130976535
