Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,17477703.42719292,-77.2250502067001
150,6436984.645961714,-85.16578578212281
250,3993690.563652375,-88.48574638709525
350,2910230.016831923,-90.71899991107765
450,2306483.49646277,-92.75206098272938
550,1908434.4439651687,-94.56011717511544
650,1603347.8778901102,-96.71022722135342
750,1404200.4988950246,-98.73082217449422
850,1232248.8911688726,-100.88389987121202
950,1129000.3223793753,-102.64959356469565
1050,1031527.7620816083,-104.93042705125686
