Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,8019016.412512594,-60.11324438642647
150,3131674.3395362752,-81.8256370272525
250,1933613.6222643221,-83.41547935179855
350,1412311.0610417798,-84.90569359736682
450,1120009.6032601306,-86.32438464397009
550,930001.7452408508,-87.69890019155632
650,786805.1736375161,-89.10397646778581
750,689285.2771641249,-90.58896873386037
850,607015.5708152425,-92.10144292947906
950,558974.7138019978,-93.17921377598124
1050,509091.49397368747,-94.62709107152159
