Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,15041496.213145168,-53.61011141727769
150,6941994.541415913,-68.26180269799403
250,4431457.144499718,-72.6546295449072
350,3358175.1791277872,-78.0297183791773
450,2697379.605480204,-81.76958753450482
550,2248755.5692312866,-84.43993189964583
650,1917882.5627649175,-88.00802018303712
750,1681635.1767825184,-90.36122840237945
850,1479611.864976785,-92.53450665137889
950,1359020.946454676,-94.21568687151249
1050,1276626.8991289032,-94.77789930212887
