Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,11857187.303019334,-11.669582056431562
150,8538493.730857529,-42.57555712255645
250,7212138.970847546,-57.708271287769925
350,5872382.930354791,-65.90810414804486
450,4452885.222746249,-67.22866908702251
550,3592389.7159908162,-67.08966461693632
650,3060938.3233256675,-70.3208043471577
750,2743442.7520558233,-73.51294550543233
850,2574174.589416717,-81.29171535551183
950,2412758.6469693035,-85.55050389799791
1050,2220694.7427651263,-89.51809527894336
