Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12664835.324805591,-22.11673401180432
150,6966671.545938811,-63.94606710267219
250,4491046.329207202,-67.5370003319931
350,3385032.2441414176,-73.09600991390069
450,2715341.1204992267,-75.93301771644214
550,2287031.656562925,-79.0079747448759
650,1944508.3815766044,-81.57071854129289
750,1712094.8213660219,-83.702573216663
850,1513148.134643312,-85.78901113869462
950,1394355.3000770132,-87.39600602263491
1050,1271018.4695281396,-89.12502349570956
