Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,99474.45197791136,-110.42061241635936
150,5498.637654071944,-77.68995501595934
250,1759.3199474956268,-7.0335829569099975
350,1732.0983551146278,-8.401739914421164
450,1718.539231730316,-6.654057234083922
550,1677.3033782743205,-7.687867248196537
650,1728.1797087458738,-9.1045929492444
750,1703.77274933603,-10.222812811642653
850,1691.9098738882171,-12.262441925153391
950,1686.0384051979263,-12.99699037236006
1050,1659.4318196134898,-14.214285358610226
