Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20505636.792208835,-52.28852159913877
150,9264528.470041795,-66.34294016408913
250,6826597.364596403,-68.38558453479473
350,6554942.382503826,-84.36376069436032
450,4610760.116937771,-81.92472611961688
550,4154027.742145199,-91.13998492143553
650,3291288.672144095,-92.7382902330983
750,2904493.7755779284,-96.75337615101077
850,2519569.297874073,-100.59512259346442
950,2314317.702527381,-104.32985061605531
1050,2257952.720022256,-115.89893952208156
