Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,37547119.58956234,-28.52852951078914
150,20198822.204248514,-72.75053606573273
250,12048482.07569035,-82.94832170921072
350,9104606.96210849,-91.3798737440215
450,6915329.385163054,-96.50222816829569
550,5669114.084208123,-101.44675433062581
650,4712333.955560238,-107.41180734293529
750,4069765.2142547728,-111.81212885701288
850,3529687.6243866007,-116.27804005469778
950,3159659.997562888,-119.89010128012538
1050,2804712.530063534,-124.09215315221263
