Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20269841.261891272,-31.837444893306884
150,9938084.16042212,-67.88270367214758
250,7181873.788426361,-75.84557195930208
350,5569417.7272599945,-81.87106267795308
450,4307496.997702705,-84.89486732579677
550,3614852.381644738,-88.25258035471417
650,3067862.6110870023,-92.59941429420604
750,2686488.8213210846,-95.35866606399064
850,2367946.885263554,-98.59369047179229
950,2183535.0847189915,-100.81099625139268
1050,1969849.7345351647,-103.86001099080225
