Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13300605.576381633,-81.72071589325664
150,4565922.210111622,-81.33137762904913
250,2848024.8997136387,-80.33063011032887
350,2114061.863875351,-80.32194907685854
450,1706175.5474411335,-81.25149985238389
550,1443974.2077964963,-82.62110328994656
650,1241877.550170269,-84.29106561133207
750,1102322.269343199,-85.75298967359691
850,986976.5000919872,-87.71035727365103
950,927003.8333020572,-89.5042894484745
1050,841817.4463146408,-90.92792146702936
