Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,274709.4876563775,-30.020534336819797
150,190016.56228775685,-27.55492015109374
250,169555.30531516694,-28.25197019641698
350,157913.33673091122,-30.282281499009702
450,148569.82176138912,-32.90424071719445
550,141417.14542381,-35.551999368356725
650,135310.9177497859,-38.45336020606275
750,130261.5016607345,-41.1387498820982
850,124170.29032235201,-43.92561367149945
950,119686.14480722877,-45.90776029355508
1050,114935.80646328586,-48.24688283138351
