Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,1073975.156601618,-145.74723963191224
150,100140.1258868524,17.23649147616998
250,97770.34121699183,-14.440536354339738
350,72832.492028358,-18.9677245488377
450,66734.22782449164,-16.07474271227483
550,69354.86379713855,-18.038957850675782
650,65934.81468190593,-19.17435394774031
750,65145.3557844195,-21.735069349117243
850,61841.448971724065,-23.151867580083554
950,58175.49608395549,-24.516942927886195
1050,56524.26963935496,-24.974223200504078
