Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3878486.3125365064,133.16033513388518
150,131674.13983580648,124.28660494870846
250,59786.49234379566,22.46769321781956
350,47370.429870784326,-4.28082860029206
450,44024.76353694845,-8.752614893245694
550,43645.064275662495,-19.96790574695518
650,42467.06513151572,-22.5034430771245
750,40419.73492254847,-26.668460861453937
850,38404.60538459204,-30.035551099384495
950,37967.38013106289,-33.29918273312261
1050,38172.215947482786,-36.030427543727086
