Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,1459977.1008801204,-165.18916753587325
150,1150006.55745113,-24.296493128196246
250,1088774.8139439765,-34.433571796537215
350,802629.6310246451,-39.49005530135615
450,278096.94127195317,-9.031990813168822
550,545270.9130128555,-40.28136262437825
650,408559.1600063464,-49.76201208083462
750,452085.1627849518,-58.49732419706519
850,376986.25549103826,-64.43275600204021
950,386036.7170853972,-66.04309084575544
1050,383500.18792467884,-63.85968936477031
