Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,253884.4180941482,-31.010876475117144
150,185919.69416828325,-26.936333949433084
250,166518.73739765937,-27.362991967615084
350,155174.42310350933,-29.208162875087
450,147070.71252597487,-31.690031860492386
550,137814.9201238906,-35.223055212152616
650,131178.80595429798,-38.15474208354579
750,125417.92144663457,-40.725297574329296
850,119731.42422803331,-43.536876041369986
950,116113.2505333931,-45.6946363356005
1050,111341.49909074264,-48.21285401085443
