Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4661847.081577137,-93.29860246979352
150,610404.320310121,9.82441824322625
250,319783.02107191016,-21.044829868497068
350,322303.5548918352,-19.922766198888354
450,300188.39481070853,-21.000310214321562
550,240253.59698756458,-28.517298744959568
650,200731.78882602238,-29.788123817066026
750,255984.78173573923,-39.098554541425266
850,233043.93439626927,-49.62936371680395
950,256834.64144192825,-51.98792731642898
1050,229444.1143005255,-57.869331429723395
