Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,218872.9312811017,-27.36325342192462
150,159106.3029135171,-25.52477099586518
250,142899.37044995537,-28.183526240546502
350,132093.51184364798,-31.341628845173428
450,124673.90872884408,-34.573970765710925
550,118690.68801666098,-37.85441763166471
650,113045.94913662033,-41.31219960955105
750,107817.95556049164,-44.508194796069795
850,103285.81525590068,-47.87913341405797
950,101126.32976903986,-50.43167464013493
1050,97395.46366897204,-53.704362515483325
