Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,15059696.66173589,-35.96118203331855
150,7910010.040578047,-63.117394455772306
250,5192062.752006267,-71.18420547469144
350,3797602.5343799945,-75.69843877135641
450,3175014.8428875706,-82.1061716969473
550,2768884.64825929,-87.73883790309392
650,2373137.2583747534,-92.8051474678064
750,2001902.893144622,-95.15023710454025
850,1804362.3927790374,-99.74696465974779
950,1620065.738786117,-101.55923905798335
1050,1456614.8730621452,-105.20962444840619
