Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,24847474.212094195,-47.365199898483475
150,10278039.10458104,-77.49471291309314
250,6323728.887231498,-82.01498754910722
350,5245628.852765673,-83.41138557437714
450,3949266.912985657,-85.72604376199517
550,3299043.8477777033,-89.23985366624325
650,2804562.549790288,-92.71605432472832
750,2447121.976350257,-95.4486306589657
850,2129298.393168755,-97.54295707085309
950,1970730.8469588705,-99.99650620904657
1050,1784058.8911588455,-102.00405372188693
