Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12033883.42106657,-82.214872159854
150,4331867.3006687695,-83.57320343251843
250,2739913.9005646408,-84.92879515909512
350,2016957.543166811,-86.19865229274463
450,1609703.2813357248,-87.70862016246298
550,1350193.302776843,-89.23603916676952
650,1146306.8250644438,-90.96036419766618
750,1010056.7103534206,-92.39581496700255
850,893690.6325738837,-94.15469321989414
950,824534.5246416847,-95.46229427681924
1050,756243.9791242479,-97.10171717476531
