Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10108415.647459503,-75.63439453715812
150,3832996.2887705998,-80.55764118217789
250,2408207.9985691216,-80.61940173267244
350,1777636.3139478941,-82.61725450502593
450,1411788.7164078036,-84.5108824274555
550,1182324.276728758,-86.1601560155882
650,1001481.7349097331,-88.13199116726318
750,879444.3606948958,-89.8081967003264
850,777417.1961556788,-91.56484528108503
950,715201.4525523377,-92.87492801417524
1050,651071.7150013552,-94.41426729276851
