Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13948017.00284461,-13.08789010903543
150,8123197.092774281,-58.972095533257956
250,5381091.567436439,-66.71126373087397
350,4043206.584595693,-73.203606700323
450,3248963.3022738416,-77.01677973051005
550,2703415.613255562,-80.04902583214414
650,2303442.9752022107,-83.25883970762726
750,2006848.0070995248,-85.18776042110689
850,1747241.1755269624,-87.18009174520495
950,1619649.221320939,-89.0253941132909
1050,1450202.7862074925,-90.32351496102069
