Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10435602.080306828,-54.42923584474454
150,4492669.860392851,-78.82430820147225
250,2861984.902366853,-79.62919954145576
350,2118840.87731229,-81.43885541705517
450,1691975.6292490736,-83.79232068089185
550,1412657.8580103947,-85.63311869595853
650,1195422.3526743222,-88.01328095743723
750,1047056.5394539655,-89.85225934408719
850,921505.7443504476,-91.78207767614808
950,847294.1111466148,-93.3299256962639
1050,766275.9528001033,-94.89187912196418
