Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[7902611.34255289],[102.78958074]
150,[2651406.94087922],[0.39792941]
250,[2660865.95927524],[-32.10539564]
350,[2370214.43766333],[-44.27253149]
450,[2105358.93346134],[-50.53036278]
550,[1943489.56145829],[-56.85108379]
650,[1685679.17492933],[-62.1179404]
750,[1536535.01719339],[-65.7799238]
850,[1394416.98719297],[-69.47320214]
950,[1293461.9323603],[-71.43373488]
1050,[1193378.16079513],[-74.00284663]
