Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[78341.61103658],[-28.59555767]
150,[54019.12075249],[-28.54242356]
250,[46427.34457055],[-28.62752938]
350,[42151.6404498],[-29.08979948]
450,[39465.64326783],[-29.92149411]
550,[37581.40912786],[-30.86805114]
650,[35734.04133698],[-32.00592042]
750,[34356.06262246],[-33.15618741]
850,[33123.0242408],[-34.54489038]
950,[32410.29135885],[-35.5589611]
1050,[31518.6066038],[-36.77387533]
