Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[4116.94070158],[-7.54821345]
150,[3822.08396004],[-7.55773048]
250,[3729.82544722],[-8.67426755]
350,[3636.68903821],[-9.51786316]
450,[3580.39150646],[-10.23671636]
550,[3537.37979348],[-11.27797802]
650,[3492.38554495],[-12.48893435]
750,[3451.46722725],[-13.60521176]
850,[3418.79417869],[-14.77667149]
950,[3397.19058779],[-15.62555299]
1050,[3362.1147743],[-16.69405166]
