Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[42458.34164848],[-26.31670248]
150,[31536.20665932],[-26.73859236]
250,[27168.66654048],[-27.15343641]
350,[24832.03168878],[-27.63581314]
450,[23256.81736136],[-28.45214534]
550,[22147.32942184],[-29.30960082]
650,[21143.26708493],[-30.43189424]
750,[20399.50623931],[-31.5313212]
850,[19690.74072976],[-32.84416472]
950,[19270.15767353],[-33.8270771]
1050,[18778.08599743],[-35.0601583]
