Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[50120.03488439],[-41.46742174]
150,[29503.0086869],[-38.12148913]
250,[23881.38530353],[-34.40306484]
350,[21379.37801944],[-33.15022388]
450,[19704.75690415],[-32.34336993]
550,[18582.13246443],[-32.10382226]
650,[17863.97141705],[-32.02664503]
750,[17215.26230457],[-32.11342654]
850,[16651.71264495],[-32.49663966]
950,[16217.3574313],[-33.10676092]
1050,[15858.16449],[-33.5458237]
