Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[33770.50240239],[-39.231464]
150,[19131.73975207],[-45.83295426]
250,[14289.34192021],[-46.02793521]
350,[11930.45354852],[-45.0475264]
450,[10539.80933944],[-44.10705677]
550,[9615.97652853],[-43.39735563]
650,[8921.78268742],[-42.91079754]
750,[8452.80091813],[-42.7357031]
850,[8016.89267899],[-42.70443831]
950,[7746.81560383],[-42.87454776]
1050,[7479.0802506],[-43.22857945]
