Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[42217.81392418],[-51.30159603]
150,[23260.69695035],[-42.522519]
250,[17172.34906313],[-41.79741341]
350,[14602.30815539],[-39.94272414]
450,[13044.82618571],[-38.29977399]
550,[12136.66754237],[-36.80797029]
650,[11235.85256761],[-35.83661113]
750,[10727.94262623],[-35.0360363]
850,[10294.38003791],[-34.48516291]
950,[10011.96151835],[-34.10876631]
1050,[9654.73617324],[-33.87856696]
