Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[549253.82328373],[-73.12963785]
150,[4788726.94262066],[-52.0787208]
250,[3026512.43847716],[-64.02366942]
350,[2532471.16405303],[-67.96849233]
450,[2211961.64241518],[-71.10302001]
550,[1937493.92696338],[-73.35541574]
650,[1702664.79085132],[-75.93933316]
750,[1525921.55664436],[-77.94935088]
850,[1369382.07245129],[-80.20670485]
950,[1274486.13674876],[-81.26957051]
1050,[1164960.7711641],[-82.69400898]
