Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[16890776.99569372],[-3.53586624]
150,[6740618.08228849],[-50.60402001]
250,[5505087.09241527],[-60.47627793]
350,[4462058.6441879],[-66.72596743]
450,[3021602.44046672],[-74.71866879]
550,[2100166.21806749],[-74.53107357]
650,[2146626.58203999],[-79.85863062]
750,[1910400.75488747],[-78.17788497]
850,[1747954.42076515],[-80.96075183]
950,[1636052.33740804],[-81.68040474]
1050,[1448956.63783346],[-83.13331434]
