Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[14994418.77271781],[-5.34114102]
150,[4167946.38397259],[-64.54990925]
250,[2422407.50523865],[-75.4233451]
350,[1932539.07055862],[-79.80447031]
450,[1608694.09535186],[-82.63988767]
550,[1359130.78217747],[-85.25726243]
650,[1155845.12473105],[-87.8175814]
750,[1035865.01246146],[-90.0512051]
850,[910841.51079467],[-92.40847309]
950,[839602.2369251],[-94.02460004]
1050,[768795.86258564],[-95.98198399]
