Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[8124867.74836909],[-7.12743124]
150,[4108036.77000684],[-71.58180064]
250,[2599246.74137119],[-75.66187508]
350,[1948793.13048085],[-79.20356429]
450,[1549676.35568672],[-81.87005882]
550,[1307606.65343395],[-83.69210916]
650,[1119088.33294427],[-85.84573366]
750,[988817.67276214],[-87.18291391]
850,[869995.88209622],[-88.36711881]
950,[800915.64324327],[-89.36842759]
1050,[726384.38663911],[-90.57369985]
