Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[103012.48454035],[-70.36572259]
150,[43973.19047148],[-44.16223012]
250,[38441.87464259],[-32.10213011]
350,[35404.50437177],[-27.35991093]
450,[34146.50854155],[-24.75672404]
550,[31337.0014371],[-24.55010035]
650,[31395.11384237],[-23.5656579]
750,[30412.08361231],[-23.74418888]
850,[29678.67781411],[-24.09513891]
950,[29775.94681713],[-24.27673454]
1050,[29244.93310101],[-24.84567944]
