Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[90620.87950767],[-26.01345516]
150,[82633.36367614],[-14.45492788]
250,[89810.70379862],[-12.24266554]
350,[82500.22146016],[-12.57089735]
450,[86540.17575843],[-13.20976231]
550,[81523.65831485],[-14.50055273]
650,[83387.21615964],[-15.93755885]
750,[83385.70753385],[-17.45913024]
850,[84900.82737279],[-19.48468569]
950,[81149.82444207],[-21.09142929]
1050,[77234.24805963],[-22.17391541]
