Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[2429722.52767678],[-103.68154496]
150,[3598628.27465523],[-71.08299916]
250,[2304313.30693347],[-71.9225984]
350,[1866052.71396225],[-76.32099102]
450,[1583591.50097473],[-79.59246617]
550,[1357354.03324598],[-82.83728518]
650,[1191516.70621665],[-85.46416602]
750,[1047883.56332968],[-87.86420851]
850,[938938.81985014],[-90.22778647]
950,[869872.43715153],[-91.88527597]
1050,[793480.27372973],[-93.89671851]
