Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[14705786.02013379],[-44.96265727]
150,[4094282.4969105],[-70.86797352]
250,[2415036.4236879],[-75.67426365]
350,[1894963.84678046],[-79.47376238]
450,[1585626.96686267],[-82.51628475]
550,[1353587.27166268],[-85.16712952]
650,[1172551.98206543],[-87.92029147]
750,[1018605.41646398],[-90.14778935]
850,[910086.25467244],[-92.34349451]
950,[845806.73320189],[-93.98783904]
1050,[769642.89621937],[-95.77862583]
