Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[3627742.74114133],[-29.47475391]
150,[5098282.08619685],[-57.48780047]
250,[3200786.7082189],[-68.31583789]
350,[2342025.96480993],[-74.55504614]
450,[1836834.63114587],[-78.79647518]
550,[1560898.33631691],[-82.54378512]
650,[1316868.58866924],[-85.22251958]
750,[1148711.56607869],[-87.28516569]
850,[990822.37786861],[-88.90000904]
950,[918346.23113508],[-90.74709122]
1050,[828354.23045021],[-92.51794145]
