Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[14287497.74702504],[-5.62855343]
150,[4430077.7439674],[-72.80375833]
250,[2595301.18189524],[-72.97019446]
350,[2050260.75135134],[-77.39793423]
450,[1700307.44149022],[-81.56923247]
550,[1461727.23720007],[-84.03769452]
650,[1252903.53219512],[-86.60695433]
750,[1101498.20554297],[-88.91896203]
850,[982406.67134518],[-91.34826167]
950,[905377.82764451],[-93.09715094]
1050,[832049.61254181],[-94.81309996]
