Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[14719947.54598166],[-13.42578885]
150,[4158464.91146511],[-74.32732456]
250,[2321914.95776491],[-77.54062185]
350,[1857974.49784121],[-80.82409427]
450,[1455963.09085845],[-82.72182366]
550,[1233166.29812596],[-84.91665602]
650,[1042010.87823893],[-86.72161166]
750,[927916.25208714],[-87.84163355]
850,[818432.08723488],[-89.22485193]
950,[742677.41792283],[-90.1388683]
1050,[676772.57943622],[-91.2304035]
