Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[22081958.27841771],[-33.32980802]
150,[7811026.18961015],[-64.31941323]
250,[5040036.037574],[-73.32632666]
350,[3899455.76504785],[-79.49692624]
450,[3163878.94014789],[-84.15910483]
550,[2651967.00359678],[-89.11146393]
650,[2236230.74044516],[-93.67690271]
750,[1939212.93983371],[-96.6027388]
850,[1709079.36032472],[-99.64036342]
950,[1555100.40509442],[-102.01359598]
1050,[1370801.61544931],[-101.68716757]
