Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[125239.0453587],[-134.22330009]
150,[27937.27022043],[-36.82423966]
250,[23704.06735723],[-31.45349971]
350,[21590.10389212],[-28.31228238]
450,[20251.59009785],[-26.39881335]
550,[19553.21589865],[-25.02751989]
650,[18569.72679347],[-24.81458995]
750,[18258.88915725],[-24.19317361]
850,[17992.88838989],[-24.1944971]
950,[17587.53500729],[-24.35003915]
1050,[17541.98703547],[-24.43034126]
