Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[23133232.25577861],[-29.78593475]
150,[8908560.12538986],[-66.21804087]
250,[5867039.50236876],[-74.64304372]
350,[4466480.86393326],[-78.86180841]
450,[3231515.42015336],[-85.52440844]
550,[2976904.35209175],[-86.52082381]
650,[2267091.72480257],[-90.71045493]
750,[2209189.42543528],[-91.67446179]
850,[2051921.81906371],[-95.54501174]
950,[1749418.25877837],[-96.39280106]
1050,[1575875.18732896],[-98.30712359]
