Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[2106849.52903548],[-33.63454506]
150,[1400808.94840104],[-48.60120544]
250,[1147135.16215602],[-41.79813141]
350,[1031491.11162351],[-38.47002634]
450,[966621.74270012],[-37.79915452]
550,[924656.94722539],[-38.4192547]
650,[892202.57148446],[-39.8898126]
750,[852842.93414769],[-41.908313]
850,[830435.18802286],[-44.44473896]
950,[809643.02374865],[-46.30803766]
1050,[779919.11645354],[-48.84500704]
