Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[15449052.27311859],[-61.32827243]
150,[6614558.82214548],[-73.52740071]
250,[4468963.39515798],[-80.72856437]
350,[3242066.35984519],[-83.50463498]
450,[2611969.29239433],[-88.31645186]
550,[2192381.5645862],[-92.059022]
650,[1846870.82669279],[-95.4469636]
750,[1606037.56316608],[-98.38436772]
850,[1401957.00232337],[-100.81667685]
950,[1276731.89445327],[-103.14383509]
1050,[1194716.37031648],[-104.24489344]
