Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[215154.95318237],[-37.90836236]
150,[177836.09977551],[-17.6380704]
250,[162777.4020332],[-14.83885684]
350,[168949.19699225],[-14.21889867]
450,[159537.8660782],[-14.56384882]
550,[152349.65862922],[-15.50749505]
650,[155987.07788047],[-16.43658188]
750,[157024.8905554],[-17.72552613]
850,[166613.93572143],[-19.64371295]
950,[148355.68464287],[-20.28788185]
1050,[172828.32509543],[-19.37408619]
